time[s],PML I WT,PML I -/-,PML II WT,PML II -/- mobil,PML II -/- immobil,PML III WT,PML III -/-,PML IV WT,PML IV -/- mobil,PML IV -/- immobil,PML V WT,PML V -/-,PML VI WT,PML VI -/-
800,0.7018476840000001,0.082187161,0.658754791,0.44243394399999997,0.040184157000000005,0.7605855309999999,0.104103148,0.86617382,0.739395039,0.21123865600000002,0.415713829,0.465395166,0.761947541,0.630084757
820,0.677213541,0.082744124,0.639668635,0.43841705700000005,0.030770542999999997,0.7601045940000001,0.1109509,0.808807335,0.777990587,0.182126,0.41514285700000003,0.469241925,0.76349318,0.63717603
840,0.715294144,0.088310435,0.647268382,0.468444074,0.041609127,0.73871679,0.10638307,0.8339312520000001,0.835815199,0.188562526,0.424545575,0.47826071200000003,0.762128585,0.648749785
860,0.703830823,0.08662545,0.657633966,0.42768434299999997,0.033081067,0.753148915,0.106740333,0.8544488709999999,0.795043365,0.18174694800000002,0.418568879,0.473526554,0.779866249,0.606901879
880,0.7218847070000001,0.078789182,0.619456033,0.476100791,0.029044095,0.750274875,0.11193499300000001,0.835123167,0.7922622340000001,0.176613118,0.40905973799999995,0.47980031700000003,0.7638168359999999,0.620061613
900,0.7062497440000001,0.095731205,0.68308865,0.504056474,0.040669601,0.7634663070000001,0.112743624,0.8373073440000001,0.8176095870000001,0.193133198,0.41861839,0.491329498,0.790981395,0.607271102
920,0.7547478679999999,0.078404155,0.69516295,0.520981606,0.040413665,0.786360382,0.11203764,0.850500767,0.756494317,0.200789628,0.405410235,0.49348726,0.81291565,0.641005786
940,0.7807075379999999,0.096092914,0.6910467859999999,0.472799189,0.034452107999999995,0.773134964,0.11556768699999999,0.863822891,0.673560811,0.19010773600000003,0.416289377,0.496128932,0.791947208,0.63007442
960,0.720812155,0.089506709,0.70158378,0.49672198,0.03666994,0.784674614,0.10968759300000001,0.880372178,0.774915102,0.193941475,0.40786336,0.49286918799999996,0.7949904329999999,0.686054452
980,0.714612382,0.081681997,0.592475551,0.502346616,0.039580129,0.7678948329999999,0.10863103699999999,0.855295916,0.7500727079999999,0.190333371,0.372873602,0.504246677,0.7933538659999999,0.72699695
1000,0.7463889890000001,0.081591526,0.624929967,0.486239332,0.035193838,0.801129889,0.115355153,0.827841267,0.791030091,0.18100422300000002,0.385955205,0.510631202,0.787517062,0.7310266390000001
1020,0.722608505,0.088469125,0.726014514,0.526767811,0.035312497000000005,0.7974686670000001,0.11779564099999999,0.8355588740000001,0.778594468,0.19661862300000002,0.39441936,0.500337915,0.791515223,0.692514906
1040,0.757869295,0.082610627,0.677163512,0.470876659,0.034112715,0.7903135920000001,0.112093945,0.8168995240000001,0.815153337,0.23161479699999998,0.41979403,0.508076569,0.771593567,0.767838444
1060,0.757099216,0.080079491,0.6904311890000001,0.504808544,0.033396346,0.7860341209999999,0.113589694,0.8436065840000001,0.806636993,0.22094717100000003,0.40639394799999995,0.5173137210000001,0.7818158890000001,0.7429097159999999
1080,0.71406886,0.086734975,0.62042984,0.499854371,0.036496696,0.768272159,0.118854655,0.794450223,0.811870778,0.197862227,0.41594511100000003,0.5044141520000001,0.774060313,0.736587205
1100,0.738053961,0.08844845,0.645755148,0.479600074,0.036345798,,0.111550132,0.8120085709999999,0.8202434559999999,0.193079069,0.438009689,0.536602382,0.788908394,0.74643972
1120,0.733252646,0.08727464800000001,0.642961989,0.501386259,0.036157642999999996,,0.11320762300000001,0.813305176,0.770938226,0.21194575899999998,0.44207954200000005,0.544443927,0.81791584,0.741935047
1140,0.717015463,0.091730995,0.6957737209999999,0.452780244,0.042011567,,0.118878817,0.7741522940000001,0.788853609,0.244445385,0.434089567,0.5471880029999999,0.803004024,0.746182452
1160,0.728706848,0.096604049,0.6855281990000001,0.508419952,0.039852765,,0.11476941,0.832982333,0.8174887559999999,0.215472003,0.417239171,0.559436257,0.812137159,0.711894997
