;PML I;PML I;PML II;PML II;PML II;PML III;PML III;PML IV;PML IV;PML IV;PML V;PML V;PML VI;PML VI;;;;;;;;;;;;
;WT;-/-;WT;-/- mobil;-/- immobil;WT;-/-;WT;-/- mobil;-/- immobil;WT;-/-;WT;-/-;;;;;;;;;;;;
time[s];;;;;;;;;;;;;;;;;;;;;;;;;;
-20;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;
0;0,093235183;0,012241569;0,064443285;0,066914087;0,013651905;0,052867317;0,03628996;0,0606171;0,028484374;0,02149712;0,038428167;0,034985564;0,054602059;0,039515937;;;;;;;;;;;;
20;0,158289809;0,022431134;0,151295894;0,103358496;0,014472324;0,126233328;0,043554732;0,116633105;0,068583867;0,032195924;0,080544513;0,057885259;0,096688924;0,083644348;;;;;;;;;;;;
40;0,212454123;0,033544412;0,230771038;0,134007973;0,02277341;0,191321641;0,045535324;0,170263168;0,094036161;0,035953268;0,088087689;0,079474959;0,128525897;0,114262564;;;;;;;;;;;;
60;0,262378858;0,029489537;0,293021833;0,150271126;0,020391027;0,241516969;0,052615017;0,207136215;0,166881739;0,04535573;0,105347607;0,1010967;0,159764153;0,145617294;;;;;;;;;;;;
80;0,295263327;0,037560367;0,324238001;0,186384543;0,025827615;0,28022245;0,05741368;0,245284373;0,195762967;0,0531749;0,114975701;0,11565806;0,187523615;0,186837647;;;;;;;;;;;;
100;0,316647894;0,046285295;0,358990531;0,205567163;0,0288639;0,303724869;0,058219032;0,283736477;0,260376298;0,053932307;0,144053726;0,132322344;0,207950684;0,198296778;;;;;;;;;;;;
120;0,359053536;0,047522159;0,382050128;0,213983991;0,0252622;0,352430406;0,061077936;0,330228567;0,282839353;0,06352879;0,147395301;0,152094192;0,25432169;0,230191537;;;;;;;;;;;;
140;0,395667695;0,043847091;0,437840117;0,230774817;0,034388426;0,384822574;0,058546281;0,356365627;0,312796357;0,073436776;0,179417186;0,162503279;0,266011687;0,255875377;;;;;;;;;;;;
160;0,407605326;0,055869029;0,443735459;0,246494528;0,037319188;0,419414287;0,067479109;0,396512117;0,342165308;0,069986625;0,179486012;0,185426786;0,293012282;0,280366079;;;;;;;;;;;;
180;0,436884635;0,056761685;0,478781785;0,265689732;0,032731479;0,438264877;0,067326708;0,411108713;0,387645944;0,077215878;0,191299991;0,197205445;0,312374244;0,296027291;;;;;;;;;;;;
200;0,458531358;0,058291005;0,471002172;0,272568349;0,036492185;0,462829783;0,069099257;0,440350949;0,404686393;0,080322827;0,206037931;0,201782785;0,328551561;0,309687666;;;;;;;;;;;;
220;0,480783351;0,061487146;0,516955467;0,261250244;0,03237205;0,494610049;0,068865986;0,466278649;0,453506682;0,086662696;0,212102066;0,214691677;0,362625441;0,334228793;;;;;;;;;;;;
240;0,507065888;0,064527894;0,520292313;0,284983191;0,038504612;0,510717239;0,074499995;0,496717357;0,460718012;0,086499584;0,229849643;0,23398453;0,38291373;0,363479049;;;;;;;;;;;;
260;0,522566667;0,061337923;0,543610558;0,293933059;0,034824551;0,527894125;0,076105429;0,515784208;0,55933095;0,095409728;0,250687797;0,242295976;0,40426749;0,381346391;;;;;;;;;;;;
280;0,543799449;0,057239739;0,55090335;0,301232174;0,029136916;0,552071604;0,076637103;0,520456181;0,563732961;0,104441368;0,229455124;0,263590683;0,419927859;0,382563435;;;;;;;;;;;;
300;0,529355421;0,075990075;0,596039464;0,344823884;0,035856829;0,573111936;0,078969896;0,565936988;0,555933114;0,098109342;0,254278492;0,262963388;0,419603813;0,408452392;;;;;;;;;;;;
320;0,5210089;0,083930958;0,598789681;0,337177539;0,03883695;0,563074056;0,080867094;0,566916285;0,581928094;0,107732615;0,258248818;0,283979815;0,451759226;0,410778717;;;;;;;;;;;;
340;0,558974718;0,06866821;0,599864108;0,329823434;0,038145173;0,586441472;0,082918431;0,58999998;0,621909333;0,111669798;0,271911188;0,297196618;0,466652621;0,457509293;;;;;;;;;;;;
360;0,569224166;0,070338477;0,63357765;0,352107103;0,032631592;0,580662256;0,083933093;0,619120723;0,64203729;0,116927566;0,262200049;0,293105241;0,491219127;0,455064414;;;;;;;;;;;;
380;0,579882921;0,079892739;0,63845279;0,353964404;0,040068857;0,616562155;0,087476289;0,636634738;0,672038902;0,122908655;0,280820075;0,309541194;0,507052512;0,448794266;;;;;;;;;;;;
400;0,574123834;0,080162089;0,615641478;0,373092525;0,038646921;0,625014606;0,089249653;0,644360352;0,602837728;0,135317403;0,286714879;0,316713666;0,503327371;0,47237472;;;;;;;;;;;;
420;0,60208498;0,082735214;0,645781797;0,411717658;0,039456091;0,621183358;0,089386028;0,663823996;0,662708033;0,125528251;0,310903908;0,330297615;0,527726873;0,482647293;;;;;;;;;;;;
440;0,61632952;0,071515913;0,659819788;0,401891097;0,029653913;0,635018995;0,082899147;0,670458324;0,703919159;0,138254871;0,313045043;0,341772037;0,540333767;0,526738197;;;;;;;;;;;;
460;0,611981901;0,082860236;0,620338608;0,396927533;0,036856682;0,655363851;0,089955842;0,697175037;0,724536966;0,133976744;0,331297572;0,346512474;0,564331165;0,53582305;;;;;;;;;;;;
480;0,63084931;0,07740237;0,637322135;0,411691298;0,030125034;0,663300074;0,089040437;0,722031363;0,657886221;0,138474099;0,329946818;0,35231376;0,575017842;0,560782627;;;;;;;;;;;;
500;0,632782457;0,082253122;0,653853856;0,419456093;0,041503116;0,685569682;0,088461168;0,726708254;0,701103364;0,132839268;0,33747514;0,367129724;0,593040242;0,534539625;;;;;;;;;;;;
520;0,644847315;0,089539544;0,670278832;0,404272361;0,045851915;0,673450253;0,096461144;0,743033869;0,72038281;0,139585682;0,328896492;0,373953013;0,602722174;0,556505151;;;;;;;;;;;;
540;0,680782635;0,084893767;0,677584472;0,404428394;0,034542561;0,696258382;0,094684307;0,760123587;0,696999142;0,146540771;0,335227832;0,386737243;0,617481565;0,565027511;;;;;;;;;;;;
560;0,651512464;0,088214895;0,659876144;0,435378145;0,045622248;0,72904753;0,098521896;0,776730329;0,755754838;0,133914967;0,328441853;0,404078005;0,620922961;0,556675103;;;;;;;;;;;;
580;0,692189284;0,074982551;0,649146465;0,418983738;0,042067066;0,703823784;0,097500538;0,79502361;0,73049483;0,153839341;0,351002295;0,398327643;0,651934736;0,594307921;;;;;;;;;;;;
600;0,676493509;0,072743855;0,72926328;0,453631354;0,035432984;0,673604875;0,094892102;0,805414842;0,733464764;0,16425242;0,35966357;0,413123109;0,655225403;0,570353432;;;;;;;;;;;;
620;0,697673283;0,070955803;0,695607545;0,464696645;0,035273118;0,739473707;0,099284783;0,80519435;0,765092868;0,151668641;0,362921189;0,431320916;0,660206879;0,594762469;;;;;;;;;;;;
640;0,686128893;0,075756128;0,702786964;0,461910138;0,037288983;0,728432247;0,099836565;0,793568645;0,757644588;0,145044921;0,380152801;0,431577952;0,66823905;0,583939203;;;;;;;;;;;;
660;0,702374744;0,075555785;0,664515935;0,467140694;0,043485858;0,722641964;0,103213331;0,780703069;0,743937116;0,167428421;0,391313866;0,442775618;0,679330261;0,597870625;;;;;;;;;;;;
680;0,69470231;0,088247964;0,654311412;0,477560651;0,044022419;0,738472699;0,098936083;0,779492846;0,733706813;0,153319525;0,398572353;0,441796719;0,694953683;0,592014693;;;;;;;;;;;;
700;0,704771105;0,079834062;0,663329684;0,50293291;0,037396935;0,72235455;0,097862298;0,788620731;0,769253979;0,158834168;0,40511251;0,452900923;0,696935218;0,614978258;;;;;;;;;;;;
720;0,687134929;0,074998522;0,6542967;0,496711719;0,037436412;0,750755253;0,09985721;0,8354867;0,736010067;0,173739325;0,415973601;0,463082446;0,703677717;0,606402046;;;;;;;;;;;;
740;0,695012649;0,082356204;0,674079735;0,503641814;0,039844895;0,744964871;0,105501828;0,827465977;0,732370924;0,196398942;0,42669845;0,47202835;0,71783865;0,614019571;;;;;;;;;;;;
760;0,703916476;0,07184211;0,661447283;0,476672764;0,039822375;0,744002505;0,101791254;0,83070111;0,791233996;0,182411419;0,420804569;0,477666285;0,733508271;0,629723237;;;;;;;;;;;;
780;0,706362592;0,082741648;0,636116857;0,486487022;0,04077262;0,74601701;0,103467909;0,862748565;0,792839284;0,153405438;0,409710466;0,484358896;0,739359789;0,599947545;;;;;;;;;;;;
800;0,701847684;0,082187161;0,658754791;0,442433944;0,040184157;0,760585531;0,104103148;0,86617382;0,739395039;0,211238656;0,415713829;0,465395166;0,761947541;0,630084757;;;;;;;;;;;;
820;0,677213541;0,082744124;0,639668635;0,438417057;0,030770543;0,760104594;0,1109509;0,808807335;0,777990587;0,182126;0,415142857;0,469241925;0,76349318;0,63717603;;;;;;;;;;;;
840;0,715294144;0,088310435;0,647268382;0,468444074;0,041609127;0,73871679;0,10638307;0,833931252;0,835815199;0,188562526;0,424545575;0,478260712;0,762128585;0,648749785;;;;;;;;;;;;
860;0,703830823;0,08662545;0,657633966;0,427684343;0,033081067;0,753148915;0,106740333;0,854448871;0,795043365;0,181746948;0,418568879;0,473526554;0,779866249;0,606901879;;;;;;;;;;;;
880;0,721884707;0,078789182;0,619456033;0,476100791;0,029044095;0,750274875;0,111934993;0,835123167;0,792262234;0,176613118;0,409059738;0,479800317;0,763816836;0,620061613;;;;;;;;;;;;
900;0,706249744;0,095731205;0,68308865;0,504056474;0,040669601;0,763466307;0,112743624;0,837307344;0,817609587;0,193133198;0,41861839;0,491329498;0,790981395;0,607271102;;;;;;;;;;;;
920;0,754747868;0,078404155;0,69516295;0,520981606;0,040413665;0,786360382;0,11203764;0,850500767;0,756494317;0,200789628;0,405410235;0,49348726;0,81291565;0,641005786;;;;;;;;;;;;
940;0,780707538;0,096092914;0,691046786;0,472799189;0,034452108;0,773134964;0,115567687;0,863822891;0,673560811;0,190107736;0,416289377;0,496128932;0,791947208;0,63007442;;;;;;;;;;;;
960;0,720812155;0,089506709;0,70158378;0,49672198;0,03666994;0,784674614;0,109687593;0,880372178;0,774915102;0,193941475;0,40786336;0,492869188;0,794990433;0,686054452;;;;;;;;;;;;
980;0,714612382;0,081681997;0,592475551;0,502346616;0,039580129;0,767894833;0,108631037;0,855295916;0,750072708;0,190333371;0,372873602;0,504246677;0,793353866;0,72699695;;;;;;;;;;;;
1000;0,746388989;0,081591526;0,624929967;0,486239332;0,035193838;0,801129889;0,115355153;0,827841267;0,791030091;0,181004223;0,385955205;0,510631202;0,787517062;0,731026639;;;;;;;;;;;;
1020;0,722608505;0,088469125;0,726014514;0,526767811;0,035312497;0,797468667;0,117795641;0,835558874;0,778594468;0,196618623;0,39441936;0,500337915;0,791515223;0,692514906;;;;;;;;;;;;
1040;0,757869295;0,082610627;0,677163512;0,470876659;0,034112715;0,790313592;0,112093945;0,816899524;0,815153337;0,231614797;0,41979403;0,508076569;0,771593567;0,767838444;;;;;;;;;;;;
1060;0,757099216;0,080079491;0,690431189;0,504808544;0,033396346;0,786034121;0,113589694;0,843606584;0,806636993;0,220947171;0,406393948;0,517313721;0,781815889;0,742909716;;;;;;;;;;;;
1080;0,71406886;0,086734975;0,62042984;0,499854371;0,036496696;0,768272159;0,118854655;0,794450223;0,811870778;0,197862227;0,415945111;0,504414152;0,774060313;0,736587205;;;;;;;;;;;;
1100;0,738053961;0,08844845;0,645755148;0,479600074;0,036345798;;0,111550132;0,812008571;0,820243456;0,193079069;0,438009689;0,536602382;0,788908394;0,74643972;;;;;;;;;;;;
1120;0,733252646;0,087274648;0,642961989;0,501386259;0,036157643;;0,113207623;0,813305176;0,770938226;0,211945759;0,442079542;0,544443927;0,81791584;0,741935047;;;;;;;;;;;;
1140;0,717015463;0,091730995;0,695773721;0,452780244;0,042011567;;0,118878817;0,774152294;0,788853609;0,244445385;0,434089567;0,547188003;0,803004024;0,746182452;;;;;;;;;;;;
1160;0,728706848;0,096604049;0,685528199;0,508419952;0,039852765;;0,11476941;0,832982333;0,817488756;0,215472003;0,417239171;0,559436257;0,812137159;0,711894997;;;;;;;;;;;;
